act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-8763,0,1,-172,-172,-172
-8862,0,1,-230,-230,-230
-8961,0,1,-51,-51,-51
-9063,0,1,-132,-132,-132
-9164,0,1,-49,-49,-49
-9277,0,1,46,46,46
-9380,0,1,-73,-73,-73
-9478,0,1,4,4,4
-9581,0,0,-138,-138,-138
-9682,0,1,-146,-146,-146
-9784,0,1,-74,-74,-74
-9887,0,1,-100,-100,-100
-9987,0,1,-124,-124,-124
-10088,0,1,46,46,46
-10190,0,1,-165,-165,-165
-10293,0,1,-200,-200,-200
-10395,0,1,88,88,88
-10504,0,1,-142,-142,-142
-10606,0,1,-15,-15,-15
-10706,0,1,-8,-8,-8
-10808,0,1,-2,-2,-2
-10910,0,1,-104,-104,-104
-11012,0,1,-4,-4,-4
-11116,0,1,-24,-24,-24
-11216,0,2,23,23,23
-11316,0,1,-82,-82,-82
-11417,0,1,-127,-127,-127
-11519,0,2,-34,-34,-34
-11620,0,1,-4,-4,-4
-11723,0,1,-169,-169,-169
-11826,0,1,-228,-228,-228
-11940,0,1,18,18,18
-12042,0,1,-147,-147,-147
-12141,0,1,-93,-93,-93
-12241,0,2,-90,-90,-90
-12343,0,1,90,90,90
-12446,0,1,32,32,32
-12545,0,1,-62,-62,-62
-12648,0,1,-70,-70,-70
-12748,0,1,-33,-33,-33
-12847,0,1,-81,-81,-81
-12948,0,2,-62,-62,-62
-13047,0,1,-102,-102,-102
-13148,0,1,-61,-61,-61
-13248,0,1,-284,-284,-284
-13358,0,1,-10,-10,-10
-13457,0,1,-268,-268,-268
-13557,0,1,-103,-103,-103
-13656,0,1,-71,-71,-71
